state,potential_ratio,iceberg_ratio,automation_gap,risk_threshold_used,total_occupations,occupations_at_potential_risk,occupations_at_current_risk,total_employment,potential_employment_at_risk,current_employment_at_risk,pct_potential_employment_at_risk,pct_current_employment_at_risk,economic_value_total,potential_economic_value_at_risk,current_economic_value_at_risk,pct_potential_economic_value_at_risk,pct_current_economic_value_at_risk,highest_risk_industries,lowest_risk_industries
Alabama,12.791017633608117,1.9358198328856682,10.855197800722449,50,715,89,2,2030770.0,180370.0,18980.0,8.881852696267918,0.9346208580981598,107598024600.0,13762882300.0,2082903900.0,12.791017633608117,1.9358198328856682,"['151', '111', '432']","['274', '273', '537']"
Alaska,7.287334928637026,0.19701718920909717,7.090317739427929,50,558,60,2,304670.0,18290.0,280.0,6.003216595004432,0.09190271441231496,20696874300.0,1508250550.0,40776400.0,7.287334928637026,0.19701718920909717,"['151', '111', '431']","['273', '272', '537']"
Arizona,12.854483266028241,2.72465612127955,10.129827144748692,50,734,91,2,3109630.0,283960.0,42000.0,9.131633023864575,1.350643002543711,193587974600.0,24884733800.0,5274606600.0,12.854483266028241,2.72465612127955,"['151', '111', '432']","['274', '273', '537']"
Arkansas,8.12868630361303,0.7821413994162708,7.346544904196759,50,675,79,1,1259510.0,86220.0,5650.0,6.845519289247405,0.44858714897063146,63662977100.0,5174963700.0,497934500.0,8.12868630361303,0.7821413994162708,"['151', '111', '431']","['273', '272', '537']"
California,16.145301592323225,4.182602695562415,11.96269889676081,50,813,102,2,17865040.0,1854960.0,337330.0,10.38318414064564,1.8882129567020283,1369235458600.0,221067194300.0,57269679200.0,16.145301592323225,4.182602695562415,"['151', '111', '432']","['274', '273', '537']"
Colorado,17.02430843898261,3.6417100107664773,13.382598428216134,50,751,95,2,2808440.0,320050.0,51700.0,11.396006323795417,1.8408796342453464,200936748900.0,34208091900.0,7317533700.0,17.02430843898261,3.6417100107664773,"['151', '111', '431']","['273', '272', '537']"
Connecticut,12.520991052675964,2.084071105401195,10.436919947274768,50,680,86,2,1637380.0,154940.0,19680.0,9.46267818099647,1.201920140712602,119309940700.0,14938787000.0,2486504000.0,12.520991052675964,2.084071105401195,"['151', '111', '431']","['273', '272', '537']"
Delaware,13.660569984186392,2.37575792134046,11.284812062845932,50,539,57,2,453600.0,43250.0,5440.0,9.534832451499119,1.199294532627866,29687216600.0,4055443000.0,705296400.0,13.660569984186392,2.37575792134046,"['151', '111', '431']","['272', '537', '534']"
District of Columbia,15.490551001746075,1.8352408229344566,13.655310178811618,50,493,59,2,677780.0,91820.0,9160.0,13.54716869780755,1.351470978783676,72002463300.0,11153578300.0,1321418600.0,15.490551001746075,1.8352408229344566,"['151', '111', '414']","['271', '537', '452']"
Florida,11.719910754560091,2.0449842380986443,9.674926516461447,50,788,98,2,9479310.0,844470.0,98170.0,8.908559800238624,1.0356239008957402,565204273200.0,66241436400.0,11558338300.0,11.719910754560091,2.0449842380986443,"['151', '111', '432']","['274', '273', '537']"
Georgia,12.550693160675031,2.4919409473570653,10.058752213317966,50,761,94,2,4717050.0,410560.0,58020.0,8.70374492532409,1.2300060419117882,285327395400.0,35810565900.0,7110190200.0,12.550693160675031,2.4919409473570653,"['151', '111', '432']","['274', '273', '537']"
Guam,6.321665674767324,0.0,6.321665674767324,50,222,18,0,53940.0,3730.0,0.0,6.915090841675936,0.0,2111353350.0,133472700.0,0.0,6.321665674767324,0.0,"['111', '391', '439']","['273', '271', '537']"
Hawaii,8.937175587946276,0.8212585797131908,8.115917008233085,50,568,62,2,603810.0,44500.0,2740.0,7.369868004835959,0.4537851310842815,37987597050.0,3395018250.0,311976400.0,8.937175587946276,0.8212585797131908,"['151', '111', '431']","['273', '272', '537']"
Idaho,10.513757680856136,2.0238499062861495,8.489907774569986,50,650,80,2,808930.0,62840.0,6630.0,7.768286501922292,0.819601201587282,43675827800.0,4591970700.0,883933200.0,10.513757680856136,2.0238499062861495,"['151', '111', '431']","['273', '272', '537']"
Illinois,12.34406791143302,1.941494930690971,10.40257298074205,50,760,94,2,5963370.0,534770.0,63990.0,8.967580411747049,1.0730509762097606,396262585000.0,48914922600.0,7693418000.0,12.34406791143302,1.941494930690971,"['151', '111', '432']","['274', '273', '537']"
Indiana,10.132294398003799,0.9170465068224937,9.215247891181304,50,766,92,2,3152810.0,255760.0,14990.0,8.112128545646582,0.4754488852801152,177043551000.0,17938573800.0,1623571700.0,10.132294398003799,0.9170465068224937,"['151', '111', '432']","['274', '273', '537']"
Iowa,9.748390757858298,1.3721804579246437,8.376210299933653,50,726,90,2,1541560.0,112920.0,11050.0,7.32504735462778,0.7168063520070578,86561879900.0,8438390300.0,1187785200.0,9.748390757858298,1.3721804579246437,"['151', '111', '432']","['274', '273', '537']"
Kansas,11.86641232962464,2.1792946495592234,9.687117680065418,50,676,88,2,1399110.0,118700.0,15690.0,8.483964806198225,1.1214271930012651,78302711400.0,9291722600.0,1706446800.0,11.86641232962464,2.1792946495592234,"['151', '111', '419']","['273', '272', '537']"
Kentucky,8.110438892416335,0.6906295592687588,7.419809333147576,50,737,86,2,1953110.0,129420.0,7150.0,6.626354890405558,0.3660828115159924,103763007300.0,8415635300.0,716618000.0,8.110438892416335,0.6906295592687588,"['151', '111', '432']","['274', '273', '537']"
Louisiana,7.838847618598703,0.5508517460079042,7.287995872590799,50,714,87,2,1841780.0,117030.0,4290.0,6.354179109339878,0.2329268425110491,97219243450.0,7620868350.0,535533900.0,7.838847618598703,0.5508517460079042,"['151', '111', '432']","['274', '273', '537']"
Maine,8.682846827224315,1.1165141580831206,7.566332669141195,50,641,73,2,614900.0,42210.0,3530.0,6.86453081801919,0.5740770857049927,36203831100.0,3143523200.0,404220900.0,8.682846827224315,1.1165141580831206,"['151', '111', '432']","['274', '273', '537']"
Maryland,16.210296004751516,2.8476783344699523,13.362617670281564,50,741,94,2,2657640.0,297100.0,38140.0,11.179091223792538,1.4351078400385304,193747964200.0,31407118500.0,5517318800.0,16.210296004751516,2.8476783344699523,"['151', '111', '432']","['274', '273', '537']"
Massachusetts,15.775919836591859,3.3815176748433333,12.394402161748525,50,719,89,2,3572120.0,385330.0,66360.0,10.787151607448799,1.857720345341142,282380449200.0,44548113300.0,9548744800.0,15.775919836591859,3.3815176748433333,"['151', '111', '432']","['274', '273', '537']"
Michigan,12.592417477120287,1.9217795664110873,10.6706379107092,50,790,99,2,4339020.0,404900.0,47420.0,9.33160022309185,1.0928735059990504,262776027400.0,33089854400.0,5049976000.0,12.592417477120287,1.9217795664110873,"['151', '111', '432']","['274', '273', '537']"
Minnesota,12.431796962336476,2.5676204610487443,9.864176501287732,50,736,88,2,2874770.0,258930.0,41210.0,9.006981428079463,1.4335059848266123,191058132400.0,23751959100.0,4905647700.0,12.431796962336476,2.5676204610487443,"['151', '111', '432']","['274', '273', '537']"
Mississippi,7.412376062174602,0.5917779160281977,6.820598146146405,50,685,84,2,1133720.0,71080.0,3520.0,6.269625657128744,0.3104823060367639,53184005600.0,3942198500.0,314731200.0,7.412376062174602,0.5917779160281977,"['151', '111', '432']","['274', '273', '537']"
Missouri,9.758319229290038,1.3660435279700904,8.392275701319948,50,745,91,2,2862070.0,211500.0,21470.0,7.389756365148302,0.7501563553651728,162840272250.0,15890473600.0,2224469000.0,9.758319229290038,1.3660435279700904,"['151', '111', '432']","['274', '273', '537']"
Montana,7.569561317076574,1.1988142806206692,6.370747036455905,50,626,68,2,494560.0,30350.0,2540.0,6.136768036234228,0.5135878356518926,27076187300.0,2049548600.0,324593200.0,7.569561317076574,1.1988142806206692,"['151', '111', '431']","['273', '272', '537']"
Nebraska,10.710878832854522,1.8755141940104585,8.835364638844064,50,675,85,2,995510.0,82210.0,9930.0,8.258078773693885,0.997478679269922,57629998400.0,6172679300.0,1080858800.0,10.710878832854522,1.8755141940104585,"['151', '111', '419']","['273', '272', '537']"
Nevada,8.636548099370904,0.8823483749670127,7.754199724403891,50,679,83,2,1465000.0,113540.0,5900.0,7.750170648464164,0.40273037542662116,84060584350.0,7259932800.0,741707200.0,8.636548099370904,0.8823483749670127,"['151', '111', '414']","['273', '272', '537']"
New Hampshire,14.235023240846608,2.922810884341526,11.312212356505082,50,638,77,2,665590.0,67440.0,10040.0,10.132363767484486,1.5084361243408104,43415135300.0,6180154600.0,1268942300.0,14.235023240846608,2.922810884341526,"['151', '111', '431']","['273', '272', '537']"
New Jersey,15.048604859729167,2.6317966627993132,12.416808196929853,50,752,98,2,4189240.0,471060.0,61110.0,11.244521679349953,1.458737145639782,308480902600.0,46422072100.0,8118590100.0,15.048604859729167,2.6317966627993132,"['151', '111', '432']","['274', '273', '537']"
New Mexico,11.626042436678908,1.301897903406004,10.324144533272904,50,632,79,2,827360.0,66420.0,4820.0,8.02794430477664,0.5825759040804487,46478698400.0,5403633200.0,605105200.0,11.626042436678908,1.301897903406004,"['151', '111', '419']","['273', '272', '537']"
New York,12.21177026068938,2.3726719134504255,9.839098347238956,50,790,97,2,9297780.0,802960.0,117210.0,8.636040000946462,1.2606235036750708,728173545700.0,88922880500.0,17277169200.0,12.21177026068938,2.3726719134504255,"['151', '111', '432']","['274', '273', '537']"
North Carolina,14.858578238681586,3.0002653147588645,11.858312923922721,50,773,96,2,4757530.0,475490.0,66980.0,9.994471921354148,1.4078734133048032,283784815900.0,42166388900.0,8514297400.0,14.858578238681586,3.0002653147588645,"['151', '111', '432']","['274', '273', '537']"
North Dakota,6.833394595533824,0.8709369860700407,5.962457609463783,50,556,61,2,411780.0,23190.0,1990.0,5.631647967361212,0.48326776434018165,23980529400.0,1638684200.0,208855300.0,6.833394595533824,0.8709369860700407,"['151', '111', '414']","['271', '537', '454']"
Ohio,11.10819833798916,1.5793702791003899,9.52882805888877,50,788,98,2,5465330.0,461630.0,46750.0,8.446516495801717,0.8553920806245917,326574620800.0,36276556600.0,5157822500.0,11.10819833798916,1.5793702791003899,"['151', '111', '432']","['274', '273', '537']"
Oklahoma,9.555239553950171,1.0794358216208033,8.475803732329368,50,709,91,2,1651450.0,119590.0,8880.0,7.241515032244392,0.5377092857791638,87051808100.0,8318008800.0,939668400.0,9.555239553950171,1.0794358216208033,"['151', '111', '431']","['273', '272', '537']"
Oregon,13.275192730668028,2.380604677770766,10.894588052897262,50,745,90,2,1936250.0,181460.0,23820.0,9.371723692704972,1.230213040671401,128336062200.0,17036859600.0,3055174300.0,13.275192730668028,2.380604677770766,"['151', '111', '432']","['274', '273', '537']"
Pennsylvania,11.14185876754936,1.498713763095056,9.643145004454304,50,791,99,2,5888690.0,492220.0,46790.0,8.358735134639453,0.7945740054239567,357050554400.0,39782068500.0,5351165800.0,11.14185876754936,1.498713763095056,"['151', '111', '432']","['274', '273', '537']"
Puerto Rico,7.094898148899372,0.3326542510613259,6.7622438978380455,50,565,64,2,909600.0,53470.0,1710.0,5.878408091468777,0.18799472295514513,30804686750.0,2185561150.0,102473100.0,7.094898148899372,0.3326542510613259,"['151', '111', '419']","['273', '272', '537']"
Rhode Island,12.388506046348875,2.501174056604943,9.887331989743931,50,545,61,2,468570.0,41870.0,5780.0,8.935697974688948,1.233540346159592,30779393300.0,3813107000.0,769846200.0,12.388506046348875,2.501174056604943,"['151', '111', '413']","['537', '432', '475']"
South Carolina,11.2440982533771,1.2667973048689989,9.977300948508102,50,734,92,2,2217490.0,188060.0,13420.0,8.480759777947139,0.6051887494419367,120103586750.0,13504565300.0,1521469000.0,11.2440982533771,1.2667973048689989,"['151', '111', '432']","['274', '273', '537']"
South Dakota,7.696715789704244,1.0143137095283545,6.68240208017589,50,582,65,2,439580.0,26670.0,2550.0,6.067155011601984,0.5800991855862414,22955481900.0,1766818200.0,232840600.0,7.696715789704244,1.0143137095283545,"['151', '111', '419']","['273', '272', '537']"
Tennessee,9.55376793203567,1.1616214311859796,8.392146500849691,50,748,89,2,3210750.0,233350.0,18880.0,7.26777232733785,0.5880246048431053,178513028800.0,17054720500.0,2073645600.0,9.55376793203567,1.1616214311859796,"['151', '111', '432']","['274', '273', '537']"
Texas,13.253245363763538,2.3857112411296457,10.867534122633892,50,807,103,2,13521120.0,1257930.0,160580.0,9.303445276722638,1.1876235104784219,827001854200.0,109604584900.0,19729876200.0,13.253245363763538,2.3857112411296457,"['151', '111', '432']","['274', '273', '537']"
Utah,14.850805626635127,3.3770460827011033,11.473759543934024,50,733,95,2,1662540.0,177200.0,28990.0,10.658390174071,1.7437174443923156,100765666700.0,14964513300.0,3402903000.0,14.850805626635127,3.3770460827011033,"['151', '111', '419']","['272', '537', '454']"
Vermont,8.68838756530581,1.1939533740429629,7.494434191262847,50,543,52,2,290100.0,20300.0,1810.0,6.997587038952085,0.6239227852464667,17787486900.0,1545445800.0,212374300.0,8.68838756530581,1.1939533740429629,"['151', '111', '431']","['273', '272', '537']"
Virgin Islands,4.6534858759906355,0.28669267621098976,4.366793199779646,50,177,13,1,28590.0,1340.0,30.0,4.686953480237845,0.1049317943336831,1388490300.0,64613200.0,3980700.0,4.6534858759906355,0.28669267621098976,"['151', '111', '433']","['373', '392', '537']"
Virginia,18.667896473083214,4.920166245089555,13.74773022799366,50,764,96,2,3956750.0,506610.0,95800.0,12.803689897011436,2.4211789979149554,267693296200.0,49972707400.0,13170955200.0,18.667896473083214,4.920166245089555,"['151', '111', '432']","['274', '273', '537']"
Washington,18.611654835268638,5.814395109601697,12.79725972566694,50,776,100,2,3478890.0,435060.0,99950.0,12.505713029155851,2.873042838376609,268180331850.0,49912797700.0,15593064100.0,18.611654835268638,5.814395109601697,"['151', '111', '432']","['274', '273', '537']"
West Virginia,7.304599469447198,0.567920632812814,6.736678836634384,50,653,70,2,681640.0,41250.0,2250.0,6.051581479960096,0.33008626254327794,35336275600.0,2581173400.0,200682000.0,7.304599469447198,0.567920632812814,"['151', '111', '432']","['274', '273', '537']"
Wisconsin,10.76819890063683,1.551144144091825,9.217054756545005,50,757,91,2,2882650.0,241710.0,25340.0,8.384992975213779,0.8790522609404541,171229167200.0,18438297300.0,2656011200.0,10.76819890063683,1.551144144091825,"['151', '111', '432']","['274', '273', '537']"
Wyoming,6.6649490470260915,0.5615745193310459,6.1033745276950455,50,513,54,1,268800.0,15000.0,670.0,5.580357142857143,0.24925595238095236,15246293600.0,1016157700.0,85619300.0,6.6649490470260915,0.5615745193310459,"['151', '111', '414']","['273', '272', '537']"
